Description;ISIN;Identification number;Quantity / amount;Price;Market to cost;Weight;Investment strategy;Portfolio manager;Relationship manager;Evaluation date;Portfolio number;Total value in evaluation currency;Trade currency;Risk currency;Duration;YTM;Duration x Total value in evaluation currency;YTM x Total value in evaluation currency;Position rank;Country;Asset class;Price date;Bank
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.811465083;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2024;10000.37;527452.3038;USD;USD;3.265772519;0.034731116;1722539.239;18319.00734;;Costa Rica;Bonds;30.11.2024;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.774120945;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2024;10000.37;503178.6143;USD;USD;3.265772519;0.034731116;1643266.891;17475.955;;Costa Rica;Bonds;31.12.2024;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.774889476;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2025;10000.37;503678.1596;USD;USD;3.265772519;0.034731116;1644898.292;17493.30477;;Costa Rica;Bonds;31.01.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.774938579;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2025;10000.37;503710.0767;USD;USD;3.265772519;0.034731116;1645002.526;17494.41328;;Costa Rica;Bonds;28.02.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.772263233;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2025;10000.37;501971.1016;USD;USD;3.265772519;0.034731116;1639323.429;17434.01674;;Costa Rica;Bonds;31.03.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.772855984;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2025;10000.37;502356.3898;USD;USD;3.265772519;0.034731116;1640581.692;17447.39823;;Costa Rica;Bonds;30.04.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.772003496;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2025;10000.37;501802.2726;USD;USD;3.265772519;0.034731116;1638772.072;17428.15312;;Costa Rica;Bonds;31.05.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.73184133;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2025;10000.37;475696.8647;USD;USD;3.265772519;0.034731116;1553517.748;16521.48316;;Costa Rica;Bonds;30.06.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.734715602;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2025;10000.37;477565.1416;USD;USD;3.265772519;0.034731116;1559619.115;16586.3705;;Costa Rica;Bonds;31.07.2025;JPM, Geneva
4 3/8% Costa Rica 13-30.04.2025;USP3699PGE18;21.256942.000.0;0;0.73870049;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2025;10000.37;480155.3186;USD;USD;3.265772519;0.034731116;1568078.044;16676.33024;;Costa Rica;Bonds;31.08.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;1.043241691;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2021;10000.37;625945.0145;USD;USD;4.376146307;0.033365734;2739226.963;20885.11507;;Ireland;Bonds;30.09.2021;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;1.042182562;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2021;10000.37;625309.5374;USD;USD;4.376146307;0.033365734;2736446.023;20863.91191;;Ireland;Bonds;31.10.2021;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;1.042697822;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2021;10000.37;625618.6935;USD;USD;4.376146307;0.033365734;2737798.935;20874.22713;;Ireland;Bonds;30.11.2021;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.997895921;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2021;10000.37;598737.5525;USD;USD;4.376146307;0.033365734;2620163.129;19977.31812;;Ireland;Bonds;31.12.2021;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.994922788;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2022;10000.37;596953.6728;USD;USD;4.376146307;0.033365734;2612356.61;19917.79766;;Ireland;Bonds;31.01.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.995421187;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2022;10000.37;597252.7123;USD;USD;4.376146307;0.033365734;2613665.251;19927.77534;;Ireland;Bonds;28.02.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.996992549;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2022;10000.37;598195.5293;USD;USD;4.376146307;0.033365734;2617791.156;19959.23312;;Ireland;Bonds;31.03.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.997455187;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2022;10000.37;598473.1124;USD;USD;4.376146307;0.033365734;2619005.901;19968.49488;;Ireland;Bonds;30.04.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.996793817;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2022;10000.37;598076.2901;USD;USD;4.376146307;0.033365734;2617269.348;19955.25462;;Ireland;Bonds;31.05.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.953483635;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2022;10000.37;572090.1813;USD;USD;4.376146307;0.033365734;2503550.334;19088.20901;;Ireland;Bonds;30.06.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.950004814;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2022;10000.37;570002.8883;USD;USD;4.376146307;0.033365734;2494416.035;19018.56495;;Ireland;Bonds;31.07.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.946946727;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2022;10000.37;568168.036;USD;USD;4.376146307;0.033365734;2486386.453;18957.34375;;Ireland;Bonds;31.08.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.948312699;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2022;10000.37;568987.6196;USD;USD;4.376146307;0.033365734;2489973.07;18984.68976;;Ireland;Bonds;30.09.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.954693058;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2022;10000.37;572815.8347;USD;USD;4.376146307;0.033365734;2506725.9;19112.42097;;Ireland;Bonds;31.10.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.958785949;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2022;10000.37;575271.5692;USD;USD;4.376146307;0.033365734;2517472.553;19194.35836;;Ireland;Bonds;30.11.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.918044416;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2022;10000.37;550826.6496;USD;USD;4.376146307;0.033365734;2410498.008;18378.73566;;Ireland;Bonds;31.12.2022;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.920486241;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2023;10000.37;552291.7448;USD;USD;4.376146307;0.033365734;2416909.479;18427.61964;;Ireland;Bonds;31.01.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.922229548;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2023;10000.37;553337.7287;USD;USD;4.376146307;0.033365734;2421486.858;18462.51966;;Ireland;Bonds;28.02.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.923057034;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2023;10000.37;553834.2205;USD;USD;4.376146307;0.033365734;2423659.579;18479.08547;;Ireland;Bonds;31.03.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.919874639;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2023;10000.37;551924.7832;USD;USD;4.376146307;0.033365734;2415303.601;18415.37569;;Ireland;Bonds;30.04.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.916905883;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2023;10000.37;550143.5298;USD;USD;4.376146307;0.033365734;2407508.576;18355.94287;;Ireland;Bonds;31.05.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.874210255;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2023;10000.37;524526.1527;USD;USD;4.376146307;0.033365734;2295403.186;17501.20027;;Ireland;Bonds;30.06.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.876068845;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2023;10000.37;525641.3067;USD;USD;4.376146307;0.033365734;2300283.263;17538.4082;;Ireland;Bonds;31.07.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.879116044;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2023;10000.37;527469.6261;USD;USD;4.376146307;0.033365734;2308284.256;17599.41142;;Ireland;Bonds;31.08.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.881405275;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2023;10000.37;528843.1653;USD;USD;4.376146307;0.033365734;2314295.065;17645.24056;;Ireland;Bonds;30.09.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.879285391;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2023;10000.37;527571.2344;USD;USD;4.376146307;0.033365734;2308728.909;17602.80166;;Ireland;Bonds;31.10.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.881354959;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2023;10000.37;528812.9756;USD;USD;4.376146307;0.033365734;2314162.95;17644.23326;;Ireland;Bonds;30.11.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.845359961;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2023;10000.37;507215.9763;USD;USD;4.376146307;0.033365734;2219651.322;16923.63352;;Ireland;Bonds;31.12.2023;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.841604214;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2024;10000.37;504962.5282;USD;USD;4.376146307;0.033365734;2209789.903;16848.44557;;Ireland;Bonds;31.01.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.838771115;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;29.02.2024;10000.37;503262.6692;USD;USD;4.376146307;0.033365734;2202351.071;16791.72853;;Ireland;Bonds;29.02.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.844717677;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2024;10000.37;506830.6062;USD;USD;4.376146307;0.033365734;2217964.885;16910.77536;;Ireland;Bonds;31.03.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.84509241;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2024;10000.37;507055.4459;USD;USD;4.376146307;0.033365734;2218948.817;16918.27731;;Ireland;Bonds;30.04.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.843591942;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2024;10000.37;506155.165;USD;USD;4.376146307;0.033365734;2215009.056;16888.23877;;Ireland;Bonds;31.05.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.79986963;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2024;10000.37;479921.7783;USD;USD;4.376146307;0.033365734;2100207.918;16012.94256;;Ireland;Bonds;30.06.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.80426832;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2024;10000.37;482560.9918;USD;USD;4.376146307;0.033365734;2111757.502;16101.00186;;Ireland;Bonds;31.07.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.802200726;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2024;10000.37;481320.4354;USD;USD;4.376146307;0.033365734;2106328.646;16059.60978;;Ireland;Bonds;31.08.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.801321348;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2024;10000.37;480792.8087;USD;USD;4.376146307;0.033365734;2104019.674;16042.00513;;Ireland;Bonds;30.09.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.803354765;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2024;10000.37;482012.8588;USD;USD;4.376146307;0.033365734;2109358.792;16082.713;;Ireland;Bonds;31.10.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.804057383;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2024;10000.37;482434.43;USD;USD;4.376146307;0.033365734;2111203.649;16096.77903;;Ireland;Bonds;30.11.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.765386406;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2024;10000.37;459231.8437;USD;USD;4.376146307;0.033365734;2009665.737;15322.6077;;Ireland;Bonds;31.12.2024;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.758957365;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2025;10000.37;455374.4189;USD;USD;4.376146307;0.033365734;1992785.082;15193.90189;;Ireland;Bonds;31.01.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.756223567;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2025;10000.37;453734.1403;USD;USD;4.376146307;0.033365734;1985606.982;15139.17279;;Ireland;Bonds;28.02.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.755564619;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2025;10000.37;453338.7711;USD;USD;4.376146307;0.033365734;1983876.789;15125.98101;;Ireland;Bonds;31.03.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.759212005;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2025;10000.37;455527.2032;USD;USD;4.376146307;0.033365734;1993453.688;15198.99965;;Ireland;Bonds;30.04.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.758585165;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2025;10000.37;455151.0987;USD;USD;4.376146307;0.033365734;1991807.8;15186.45065;;Ireland;Bonds;31.05.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.722503267;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2025;10000.37;433501.9602;USD;USD;4.376146307;0.033365734;1897068.002;14464.11124;;Ireland;Bonds;30.06.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.72180641;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2025;10000.37;433083.846;USD;USD;4.376146307;0.033365734;1895238.273;14450.16055;;Ireland;Bonds;31.07.2025;JPM, Geneva
4 1/8% Ardagh 19-15.08.2026 144A;US03969AAN00;49.263329.000.0;0;0.721960703;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2025;10000.37;433176.4216;USD;USD;4.376146307;0.033365734;1895643.398;14453.24941;;Ireland;Bonds;31.08.2025;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.173288423;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2021;10000.37;938630.7387;USD;USD;8.275555036;0.029805621;7767690.336;27976.47174;;Mexico;Bonds;30.09.2021;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.173458681;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2021;10000.37;938766.9448;USD;USD;8.275555036;0.029805621;7768817.518;27980.53145;;Mexico;Bonds;31.10.2021;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.172868475;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2021;10000.37;938294.7799;USD;USD;8.275555036;0.029805621;7764910.091;27966.45829;;Mexico;Bonds;30.11.2021;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.148661971;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2021;10000.37;918929.5771;USD;USD;8.275555036;0.029805621;7604652.289;27389.2664;;Mexico;Bonds;31.12.2021;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.148296678;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2022;10000.37;918637.3424;USD;USD;8.275555036;0.029805621;7602233.885;27380.55616;;Mexico;Bonds;31.01.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.148422106;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2022;10000.37;918737.6851;USD;USD;8.275555036;0.029805621;7603064.277;27383.54694;;Mexico;Bonds;28.02.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.149543823;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2022;10000.37;919635.0581;USD;USD;8.275555036;0.029805621;7610490.536;27410.2937;;Mexico;Bonds;31.03.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.152015258;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2022;10000.37;921612.2063;USD;USD;8.275555036;0.029805621;7626852.536;27469.22383;;Mexico;Bonds;30.04.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.150683321;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2022;10000.37;920546.6567;USD;USD;8.275555036;0.029805621;7618034.521;27437.46446;;Mexico;Bonds;31.05.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.128720537;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2022;10000.37;902976.4295;USD;USD;8.275555036;0.029805621;7472631.139;26913.77293;;Mexico;Bonds;30.06.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.125065346;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2022;10000.37;900052.2766;USD;USD;8.275555036;0.029805621;7448432.151;26826.61674;;Mexico;Bonds;31.07.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.132160845;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2022;10000.37;905728.6763;USD;USD;8.275555036;0.029805621;7495407.509;26995.80536;;Mexico;Bonds;31.08.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.136587066;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2022;10000.37;909269.653;USD;USD;8.275555036;0.029805621;7524711.056;27101.34636;;Mexico;Bonds;30.09.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.138163653;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2022;10000.37;910530.9223;USD;USD;8.275555036;0.029805621;7535148.76;27138.93928;;Mexico;Bonds;31.10.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.135884807;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2022;10000.37;908707.8453;USD;USD;8.275555036;0.029805621;7520061.786;27084.60134;;Mexico;Bonds;30.11.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.113016347;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2022;10000.37;890413.0772;USD;USD;8.275555036;0.029805621;7368662.426;26539.31442;;Mexico;Bonds;31.12.2022;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.113288043;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2023;10000.37;890630.4346;USD;USD;8.275555036;0.029805621;7370461.179;26545.79289;;Mexico;Bonds;31.01.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.113066716;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;28.02.2023;10000.37;890453.3727;USD;USD;8.275555036;0.029805621;7368995.893;26540.51545;;Mexico;Bonds;28.02.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.114098148;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2023;10000.37;891278.5188;USD;USD;8.275555036;0.029805621;7375824.435;26565.10944;;Mexico;Bonds;31.03.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.112811192;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2023;10000.37;890248.9535;USD;USD;8.275555036;0.029805621;7367304.211;26534.42261;;Mexico;Bonds;30.04.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.112268189;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.05.2023;10000.37;889814.5511;USD;USD;8.275555036;0.029805621;7363709.29;26521.47498;;Mexico;Bonds;31.05.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.084095441;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.06.2023;10000.37;867276.3531;USD;USD;8.275555036;0.029805621;7177193.191;25849.70999;;Mexico;Bonds;30.06.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.080416684;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.07.2023;10000.37;864333.3475;USD;USD;8.275555036;0.029805621;7152838.187;25761.99189;;Mexico;Bonds;31.07.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.081591678;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.08.2023;10000.37;865273.3426;USD;USD;8.275555036;0.029805621;7160617.168;25790.00902;;Mexico;Bonds;31.08.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.08267402;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.09.2023;10000.37;866139.2164;USD;USD;8.275555036;0.029805621;7167782.754;25815.81693;;Mexico;Bonds;30.09.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.08146586;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.10.2023;10000.37;865172.6879;USD;USD;8.275555036;0.029805621;7159784.195;25787.00895;;Mexico;Bonds;31.10.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.077359949;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.11.2023;10000.37;861887.9595;USD;USD;8.275555036;0.029805621;7132601.244;25689.10558;;Mexico;Bonds;30.11.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.052515713;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.12.2023;10000.37;842012.5706;USD;USD;8.275555036;0.029805621;6968121.369;25096.70728;;Mexico;Bonds;31.12.2023;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.047645559;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.01.2024;10000.37;838116.4473;USD;USD;8.275555036;0.029805621;6935878.786;24980.5809;;Mexico;Bonds;31.01.2024;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.049585105;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;29.02.2024;10000.37;839668.0836;USD;USD;8.275555036;0.029805621;6948719.438;25026.82839;;Mexico;Bonds;29.02.2024;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.05342352;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;31.03.2024;10000.37;842738.8158;USD;USD;8.275555036;0.029805621;6974131.451;25118.35347;;Mexico;Bonds;31.03.2024;JPM, Geneva
4 3/4% Mexiko 20-27.04.2032;US91087BAK61;54.403356.000.0;0;1.052235006;;;Low Risk;Aaron Netanyahu;Pepe Inzaghi;30.04.2024;10000.37;841788.0048;USD;USD;8.275555036;0.029805621;6966262.962;25090.01395;;Mexico;Bonds;30.04.2024;JPM, Geneva
